"Accident_ID","النوع","التاريخ","السرعة","ع.اصابات بسيطة","ع.اصابات بليغة","ع.اصابات الوفاه","ع.اصابات متوسطة","مسارب الطريق","سطح الطريق","جنسية المركبة","فئه الرخصه","نوع الطريق","الاضائة","الطقس","خصائص طريق","خطأ السائق","محافظه","فئة المركبة","تاريخ الحادث","عدد المركبات","عمرالسائق","جنس السائق"
"1551823","صدم","2/24/2017 12:31:00 AM","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","تغير سائق المركبة المسرب بشكل مفاجئ","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/24/2017 12:31:00 AM","2","25","ذكر"
"1551823","صدم","2/24/2017 12:31:00 AM","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","0","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/24/2017 12:31:00 AM","2","",""
"1554991","صدم","4/3/2017 9:27","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","مبتل","الأردن","فئة رابعة","إسفلتي","ليل وطريق بإضاءة كافية","مطر","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","4/3/2017 9:27","4","52","ذكر"
"1554991","صدم","4/3/2017 9:27","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","مبتل","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","مطر","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","4/3/2017 9:27","4","31","انثى"
"1554991","صدم","4/3/2017 9:27","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","مبتل","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","مطر","مستقيم مستوي","عدم ترك السائق مسافة التتابع الامن","محافظة العاصمة عمان","سيارة ركوب صغيرة","4/3/2017 9:27","4","64","ذكر"
"1554991","صدم","4/3/2017 9:27","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","مبتل","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","مطر","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","4/3/2017 9:27","4","27","ذكر"
"1555002","صدم","1/3/2017 17:41","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/3/2017 17:41","2","34","ذكر"
"1555002","صدم","1/3/2017 17:41","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/3/2017 17:41","2","54","انثى"
"1555220","صدم","2/3/2017 11:41","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/3/2017 11:41","2","44","انثى"
"1555220","صدم","2/3/2017 11:41","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة اتوماتيك","إسفلتي","نهار","صافي","مستقيم مستوي","الرجوع بالمركبة الى الخلف المؤدي الى وقوع حادث","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/3/2017 11:41","2","56","انثى"
